1MO,3MO,6MO,1YR,2YR,3YR,5YR,7YR,10YR,20YR,30YR
4.989115,5.0874047,5.2948985,5.331187,5.336666,5.362509,5.3674,5.2579675,5.2395954,5.4161716,5.201854
4.9941254,5.0910234,5.2968335,5.3326464,5.3346834,5.3597913,5.36405,5.2557015,5.2392898,5.415386,5.20318
4.9956756,5.09216,5.2974935,5.3331766,5.3342314,5.359147,5.3632145,5.2551713,5.239307,5.4152584,5.2036347
4.9950643,5.091737,5.2973137,5.333085,5.3346324,5.3596754,5.3638296,5.2556233,5.2394743,5.4154944,5.203548
4.9945145,5.0913553,5.297149,5.3329983,5.3349857,5.3601413,5.3643737,5.2560205,5.239618,5.4156985,5.203465
4.993795,5.090857,5.296938,5.332889,5.3354583,5.3607635,5.3650975,5.2565517,5.2398124,5.4159727,5.203358
4.9942603,5.091182,5.2970824,5.3329716,5.3351755,5.360389,5.3646584,5.256233,5.239705,5.415815,5.2034373
4.9953437,5.091935,5.2974114,5.333151,5.3344936,5.3594894,5.363607,5.255466,5.2394342,5.4154253,5.2036076
4.9958453,5.092289,5.29758,5.3332562,5.3342214,5.3591256,5.363174,5.2551575,5.239341,5.4152784,5.2037015
4.9972486,5.0932755,5.2980475,5.333542,5.333448,5.358094,5.361949,5.2542806,5.2390647,5.414852,5.203953
4.998546,5.094187,5.2984805,5.3338017,5.332732,5.357138,5.360813,5.2534666,5.2388015,5.414449,5.2041736
5.000822,5.095755,5.2991595,5.334126,5.3312416,5.355169,5.3585134,5.2517757,5.2381353,5.4135237,5.204437
5.0026245,5.096973,5.299632,5.3342743,5.329872,5.3533735,5.356445,5.2502236,5.2374372,5.412611,5.204538
5.005911,5.0991135,5.3002977,5.3342156,5.3268123,5.3493958,5.3519373,5.2467527,5.2356462,5.4104037,5.204394
5.008081,5.100448,5.300543,5.3338504,5.324232,5.3460665,5.3482285,5.2438188,5.233943,5.408406,5.2039704
5.009902,5.1014757,5.30052,5.333166,5.3214164,5.3424587,5.344268,5.240612,5.231915,5.4061093,5.203243
5.0111156,5.102073,5.3002863,5.3323503,5.3189154,5.339275,5.340818,5.237762,5.229993,5.4039903,5.202406
5.01204,5.102445,5.2999077,5.3314,5.3164434,5.3361406,5.3374534,5.234939,5.2280035,5.401837,5.201442
5.0127764,5.102607,5.299269,5.3300943,5.3135214,5.3324556,5.333537,5.2316008,5.225549,5.3992267,5.2001395
5.0131235,5.1025224,5.298568,5.328829,5.31101,5.329304,5.3302197,5.228733,5.223364,5.396939,5.198899
5.013244,5.1022434,5.2976966,5.327373,5.3083615,5.3259974,5.326765,5.2257123,5.2209992,5.3944926,5.1974893
5.013187,5.1019554,5.2970543,5.3263574,5.3066316,5.3238482,5.324535,5.223745,5.219428,5.392882,5.1965203
5.013104,5.101756,5.296667,5.325763,5.30566,5.3226447,5.323291,5.2226434,5.218538,5.3919754,5.1959605
5.0129457,5.1014547,5.296129,5.3249564,5.3043766,5.32106,5.321658,5.2211914,5.217356,5.390776,5.195208
5.0127573,5.101128,5.2955694,5.3241253,5.303078,5.319458,5.32001,5.2197227,5.216152,5.3895574,5.194433
5.0125313,5.1007643,5.2949705,5.3232465,5.301728,5.317795,5.3183026,5.2181954,5.214893,5.3882866,5.1936145
5.0123324,5.1004686,5.294505,5.322572,5.300713,5.316547,5.317024,5.217048,5.2139406,5.387328,5.192989
5.0121684,5.1002326,5.2941427,5.3220487,5.299933,5.3155894,5.3160443,5.2161674,5.2132063,5.3865914,5.192504
5.0120196,5.1000214,5.293822,5.3215876,5.29925,5.314751,5.3151875,5.2153955,5.21256,5.385944,5.192075
5.0118747,5.099822,5.2935243,5.321164,5.29863,5.313991,5.314411,5.2146964,5.2119746,5.385357,5.1916842
5.011704,5.0995946,5.2931895,5.3206897,5.2979417,5.3131485,5.313551,5.213921,5.2113233,5.3847055,5.1912494
5.0115895,5.0994477,5.292979,5.320395,5.2975187,5.312631,5.3130245,5.213446,5.2109237,5.384307,5.190981
5.0114727,5.099302,5.292774,5.320111,5.297115,5.3121395,5.312524,5.212995,5.210544,5.3839283,5.1907253
5.0113297,5.099138,5.2925563,5.319817,5.296713,5.311652,5.312031,5.2125506,5.210168,5.3835554,5.1904697
5.0111833,5.098966,5.2923245,5.319504,5.2962813,5.3111286,5.3115,5.2120705,5.2097607,5.3831515,5.1901927
5.0110426,5.098802,5.2921076,5.319208,5.295878,5.310638,5.3110037,5.2116203,5.2093763,5.382771,5.1899285
5.0109024,5.098638,5.2918916,5.3189144,5.2954803,5.310155,5.3105154,5.211173,5.20899,5.382388,5.189659
5.010786,5.0984955,5.2916994,5.3186474,5.2951145,5.3097076,5.310062,5.2107563,5.2086287,5.3820305,5.1894073
5.0106826,5.098364,5.2915177,5.3183928,5.2947598,5.3092732,5.30962,5.21035,5.2082763,5.381681,5.189162
5.01056,5.098205,5.2912974,5.3180804,5.294324,5.308739,5.309077,5.20985,5.2078424,5.38125,5.188859
5.010444,5.098053,5.2910876,5.3177824,5.293909,5.3082294,5.3085585,5.2093697,5.2074223,5.3808336,5.1885633
5.0103307,5.0979033,5.2908807,5.3174863,5.2934985,5.307725,5.308045,5.208892,5.2070017,5.3804164,5.188265
5.0102177,5.097753,5.2906733,5.317189,5.293085,5.307216,5.3075266,5.20841,5.206577,5.3799953,5.187964
5.010138,5.0976434,5.290519,5.316966,5.292773,5.3068323,5.307135,5.2080436,5.2062535,5.379675,5.187734
5.01006,5.097534,5.2903647,5.316742,5.2924576,5.3064437,5.306738,5.2076745,5.2059293,5.379353,5.187505
5.0099792,5.097425,5.290211,5.316522,5.2921495,5.306064,5.306351,5.207316,5.205614,5.3790407,5.187282
5.010007,5.097467,5.2902756,5.3166156,5.292289,5.306235,5.306527,5.207475,5.2057495,5.379176,5.187374
5.0101247,5.0976305,5.290511,5.316955,5.292774,5.306831,5.307136,5.2080345,5.206233,5.379657,5.187709
5.0101914,5.0977197,5.2906375,5.3171344,5.293029,5.3071427,5.3074536,5.208325,5.2064824,5.3799047,5.1878805
5.0103045,5.0978723,5.2908564,5.317447,5.293474,5.30769,5.3080125,5.208837,5.2069225,5.380343,5.1881843
5.0104966,5.098136,5.2912364,5.317993,5.2942567,5.308651,5.3089933,5.209736,5.2076955,5.3811126,5.1887164
5.010662,5.0983605,5.2915606,5.3184566,5.2949195,5.3094635,5.309823,5.2104936,5.2083454,5.3817596,5.1891627
5.01072,5.0984364,5.291668,5.318609,5.295136,5.3097286,5.3100934,5.2107406,5.208557,5.381971,5.1893086
5.010716,5.098428,5.291652,5.3185835,5.295096,5.3096795,5.310042,5.210694,5.208517,5.38193,5.189281
5.0107665,5.0985003,5.29176,5.3187394,5.295324,5.3099585,5.310328,5.210954,5.2087393,5.382152,5.1894326
5.0108232,5.098582,5.291881,5.3189163,5.2955813,5.3102765,5.310653,5.211251,5.2089915,5.382404,5.189604
5.010889,5.0986767,5.292025,5.3191247,5.2958884,5.310653,5.3110394,5.2116013,5.2092886,5.382701,5.1898046
5.0109434,5.0987577,5.2921476,5.3193026,5.2961497,5.310975,5.311368,5.2119007,5.2095437,5.382956,5.189977
5.010906,5.0987043,5.292068,5.3191876,5.295982,5.3107686,5.3111567,5.211709,5.209381,5.3827934,5.1898675
5.0108066,5.098561,5.291851,5.3188734,5.29552,5.3102007,5.3105764,5.211182,5.2089353,5.3823476,5.189567
5.0107284,5.0984497,5.291686,5.318637,5.2951736,5.309777,5.3101416,5.210788,5.2086015,5.3820143,5.1893415
5.010676,5.098376,5.2915754,5.3184776,5.294941,5.309491,5.3098497,5.210523,5.2083774,5.38179,5.1891904
5.010586,5.09825,5.29139,5.3182096,5.294551,5.309012,5.3093605,5.2100787,5.2079988,5.3814125,5.1889334
5.01041,5.098007,5.2910385,5.317707,5.2938294,5.3081264,5.3084564,5.2092514,5.2072906,5.380707,5.188448
5.01025,5.097791,5.2907295,5.317264,5.2931967,5.307351,5.3076634,5.2085276,5.2066684,5.380088,5.1880198
5.010095,5.0975823,5.2904325,5.3168406,5.2925963,5.3066134,5.3069115,5.2078357,5.20607,5.3794928,5.1876035
5.0099287,5.097355,5.2901096,5.3163757,5.291939,5.3058057,5.306087,5.2070756,5.2054095,5.378837,5.187143
5.009762,5.097124,5.289783,5.3159037,5.291272,5.304985,5.305249,5.206299,5.2047296,5.3781614,5.186664
5.009613,5.0969143,5.2894845,5.31547,5.290661,5.304232,5.3044796,5.205582,5.2040987,5.3775363,5.1862173
5.0094543,5.09668,5.289148,5.3149743,5.2899575,5.303363,5.303591,5.204751,5.203364,5.376807,5.185694
5.009362,5.0965476,5.28896,5.3146977,5.2895694,5.3028827,5.3031,5.2042904,5.202955,5.376402,5.1854014
5.009325,5.096497,5.2888904,5.314598,5.2894316,5.302714,5.3029275,5.204128,5.2028084,5.376257,5.1852956
5.009244,5.0963798,5.288721,5.31435,5.28908,5.30228,5.3024836,5.2037134,5.2024426,5.375894,5.185035
